Breed,Weight_kg,Age_years,Purpose,Weather,Dry_Fodder_kg,Concentrate_kg,Green_Fodder_kg
Gir,498,10,Meat,Hot,5.85,2.95,9.15
Gir,598,2,Meat,Hot,7.74,3.21,10.78
Gir,330,7,Milk,Moderate,3.18,1.57,8.18
Jersey,271,3,Meat,Hot,3.1,1.43,4.93
Sahiwal,390,6,Meat,Cold,4.38,2.1,7.83
Jersey,559,7,Meat,Hot,6.86,2.28,12.1
Sahiwal,443,9,Meat,Moderate,5.14,2.06,8.08
Gir,424,6,Milk,Moderate,4.43,1.33,10.48
Sahiwal,563,8,Milk,Hot,5.27,2.0,11.44
Red Sindhi,610,2,Meat,Cold,7.37,2.69,11.44
Sahiwal,586,3,Meat,Moderate,7.08,2.53,11.96
Jersey,266,7,Meat,Cold,2.93,1.45,5.68
Gir,543,5,Meat,Cold,6.36,2.85,9.79
Jersey,578,5,Milk,Cold,6.17,2.48,12.13
Red Sindhi,513,7,Milk,Hot,5.57,2.28,10.83
Jersey,411,6,Milk,Moderate,4.2,1.81,9.34
Jersey,329,9,Milk,Moderate,3.12,1.57,7.99
Holstein,487,10,Milk,Moderate,4.68,1.74,9.97
Holstein,505,8,Meat,Cold,6.37,2.32,10.13
Sahiwal,286,2,Meat,Cold,3.16,1.33,6.05
Jersey,607,9,Milk,Moderate,6.34,2.93,13.97
Jersey,427,9,Meat,Cold,5.19,1.82,8.58
Sahiwal,517,4,Milk,Moderate,5.64,2.2,11.02
Holstein,450,4,Milk,Cold,4.19,2.66,9.77
Red Sindhi,373,9,Meat,Hot,4.26,1.72,7.48
Jersey,288,4,Meat,Hot,3.44,1.55,5.74
Sahiwal,358,8,Meat,Cold,3.96,2.06,6.52
Jersey,437,4,Meat,Hot,4.89,2.02,8.93
Jersey,532,4,Meat,Hot,6.22,2.86,11.64
Red Sindhi,455,6,Meat,Moderate,5.82,1.84,9.85
Holstein,371,4,Milk,Cold,3.92,1.8,8.28
Holstein,385,5,Meat,Cold,4.46,1.77,8.04
Gir,600,4,Meat,Moderate,6.81,3.43,11.09
Sahiwal,474,5,Meat,Moderate,5.49,2.02,8.6
Sahiwal,379,3,Meat,Cold,4.79,2.13,7.18
Red Sindhi,547,10,Milk,Moderate,5.12,1.89,11.55
Sahiwal,459,2,Meat,Moderate,5.48,2.47,8.47
Gir,485,5,Milk,Cold,4.45,2.49,10.23
Gir,596,5,Meat,Hot,7.22,3.37,11.96
Red Sindhi,316,7,Milk,Moderate,3.32,1.42,7.2
Gir,615,7,Meat,Hot,7.63,2.93,12.85
Red Sindhi,484,2,Milk,Cold,4.78,2.66,10.16
Holstein,313,9,Milk,Moderate,3.13,0.98,6.92
Sahiwal,515,4,Milk,Hot,4.94,2.56,12.57
Gir,312,3,Milk,Hot,3.22,1.0,6.88
Holstein,406,5,Milk,Moderate,4.11,1.78,8.55
Red Sindhi,263,8,Meat,Moderate,3.37,1.08,5.43
Sahiwal,617,4,Milk,Cold,6.44,3.27,15.27
Red Sindhi,337,10,Milk,Moderate,3.43,1.64,7.31
